,image,caption,contest_number,rank,from_description,image_description,image_location,image_uncanny_description,explanation,questions
363,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=405x308 at 0x12BF3DB10>,Don't give me that endangered species look,505,finalist,,,,,,
364,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x380 at 0x12BF3DC60>,Philosophy major. English Lit minor.,175,bad,,,,,,
365,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x380 at 0x12BF3DC60>,He's pretty much up for anything.,175,finalist,,,,,,
366,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x223 at 0x12BF3DD80>,"Don't make him think he can read, Martha. He's already hell to live with.",19,bad,,,,,,
367,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x223 at 0x12BF3DD80>,"You won't believe this, but I just remembered where I buried the remote.",19,finalist,,,,,,
368,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=574x426 at 0x12BF3DFC0>,Did I mention our medical benefits?,464,bad,,,,,,
369,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=574x426 at 0x12BF3DFC0>,It’s not what it looks like.,464,finalist,,,,,,
370,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=727x536 at 0x12BF3DC90>,He never could commit.,367,finalist,,,,,,
371,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=727x536 at 0x12BF3DC90>,Turn the scissors upside-down.,367,bad,,,,,,
372,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x464 at 0x12BF3E170>,He volunteers for Meals On Wheel,537,bad,,,,,,
373,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x464 at 0x12BF3E170>,Try to look surprised.,537,winner,"scene: the living room description: Two women are sitting in a living room chatting and drinking from cups. A man in the other room considers a giant donut. uncanny: There is a giant donut in the other room. entities: Wheel, Sculpture. caption: Try to look surprised.",Two women are sitting in a living room chatting and drinking from cups. A man in the other room considers a giant donut.,the living room,There is a giant donut in the other room.,"A joke about humoring the man's work --- the two women are going to pretend to be impressed/surprised when the man brings in his new invention: but the wheel is an already widely known and used, so to be polite, they need to pretend to be surprised by his ingenuity. It's funny because the man somehow didn't realize this invention was novel, and hints that sometimes people figuratively (and here, literally) reinvent the wheel.",['Why is there a giant donut?']
374,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x550 at 0x12BF3E530>,I ain't going back to timeout!,514,winner,"scene: plains description: Some cowboys are riding through the desert. They are all on rocking horses. uncanny: There are rocking horses in place of real horses. entities: Rocking_horse, Cowboy_(disambiguation). caption: I ain't going back to timeout!",Some cowboys are riding through the desert. They are all on rocking horses.,plains,There are rocking horses in place of real horses.,"Because the robbers and cops are riding toy rocking horses instead of real horses, the caption jokes about why these child-like robbers might be being chased. Specifically --- if the cops catch the outlaws, they might send them to time-out instead of prison because they are riding toy horses instead of real horses.",['Why is this chase taking place?']
375,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x550 at 0x12BF3E530>,I can't tell if they're gainin' on us.,514,bad,,,,,,
376,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x359 at 0x12BF3E8C0>,Things got tough after the breakup of the studio system.,180,bad,,,,,,
377,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x359 at 0x12BF3E8C0>,Here's to Little Miss 'Don't you touch my hat.’,180,winner,"scene: at sea description: Two men are sitting in a life raft talking. There is a skeleton dressed as a Mexican waitress with them. uncanny: There's a full skeleton in the life raft. entities: Raft, Skeleton. caption: Here's to Little Miss 'Don't you touch my hat.’",Two men are sitting in a life raft talking. There is a skeleton dressed as a Mexican waitress with them.,at sea,There's a full skeleton in the life raft.,"A dark joke about cannibalism; the men on the raft have eaten the woman, who requested that they not touch her hat, which had ample food. So, in a dark twist, they ate her instead.",['Where did the skeleton come from?']
378,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=533x383 at 0x12BF3E770>,Say something viral.,431,finalist,,,,,,
379,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=533x383 at 0x12BF3E770>,My Luddite days are over.,431,bad,,,,,,
380,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x567 at 0x12BF3E7D0>,This is definitely not as much fun as an execution.,729,bad,,,,,,
381,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x567 at 0x12BF3E7D0>,"We can't be overthrown, but we can be swayed.",729,winner,"scene: a royal chamber description: In a throne room, two kings are in a hammock. A woman waits in another room. uncanny: There are hammocks instead of a throne. entities: Hammock, Monarch. caption: We can't be overthrown, but we can be swayed.","In a throne room, two kings are in a hammock. A woman waits in another room.",a royal chamber,There are hammocks instead of a throne.,"A play on the words ""overthrown"" and ""swayed"" --- in a political sense, to overthrow royalty means to kill and replace them, and to sway them means to convince them to be on one's side. But both these political terms also apply to the hammock they are sitting in: to overthrow from the hammock would be to literally turn it upside-down so they fall, and to sway the hammock would mean to gently push it so that it rocks back and forth.",['Why are there two kings?']
382,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x508 at 0x12BF3E860>,Row v. Wave.,551,winner,"scene: sea description: People are in a boat paddling. A huge wave with a scary face and arms tries to get them. The Statue of Liberty is in the background. uncanny: The waves have a face and arms. entities: Rowing, Immigration, Wind_wave. caption: Row v. Wave.",People are in a boat paddling. A huge wave with a scary face and arms tries to get them. The Statue of Liberty is in the background.,sea,The waves have a face and arms.,"A play on ""Row v. Wade"", a supreme court case which established a woman's right to access abortions. Here, the wave looks like Donald Trump, a conservative politician who is attempting to overturn row v. wade so women can't legally access abortions. And, the public in the boat who support a woman's right to choose are literally rowing a boat against the wave. So both ""Row"" and ""Wave"" have double meanings.",['Why does the wave have hands and a face?']
383,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x508 at 0x12BF3E860>,I already miss 2016.,551,bad,,,,,,
384,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x447 at 0x12BF3E5F0>,The doctor says I have only three months to party.,573,winner,"scene: the hospital description: A man is laying in a hospital bed, with a beverage strapped to his head, with IVs running into his arms. A woman sits in a chair and glares at him. uncanny: IVs are for intravenous fluid, not for beer or soda or whatever other liquid it is. entities: Beer, Intravenous_therapy. caption: The doctor says I have only three months to party.","A man is laying in a hospital bed, with a beverage strapped to his head, with IVs running into his arms. A woman sits in a chair and glares at him.",the hospital,"IVs are for intravenous fluid, not for beer or soda or whatever other liquid it is.","Doctors sometimes give prognoses of ""three months to live""; but, while this person may have received such a prognosis, they are more concerned about their ""three months to party"", as evidenced by the beer helmet they are wearing in their hospital bed.",['Is the man using the IVs to get drunk?']
385,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x447 at 0x12BF3E5F0>,"Actually, it's one of the few things the AHCA covers.",573,bad,,,,,,
386,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x697 at 0x12BF3E1A0>,"First, you'll chase funding for several years. Then, as soon as you lose hope, we'll give you a piece of cheese and you'll do it all over again.",730,bad,,,,,,
387,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x697 at 0x12BF3E1A0>,"And, when you get hungry, the cafeteria is to your right, left, left, right, left, straight, right, straight, left, and then you push on the big lever.",730,winner,"scene: a laboratory description: Two scientists are conferring in a lab. One scientist has a mouse head. uncanny: There is a man with the head of a mouse. entities: Research, Mouse. caption: And, when you get hungry, the cafeteria is to your right, left, left, right, left, straight, right, straight, left, and then you push on the big lever.",Two scientists are conferring in a lab. One scientist has a mouse head.,a laboratory,There is a man with the head of a mouse.,"The mouse scientist is a new employee, and the human is explaining to them how to get food. But, the directions sound like a mouse maze, which is a common experiment that scientists run on mice. So: this suggests that the scientist mouse might not be a peer, rather, this might itself be an experiment.",['What experiment are they running?']
388,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x464 at 0x12BF3EAA0>,And keep 'em above the ankle.,215,bad,,,,,,
389,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x464 at 0x12BF3EAA0>,Very funny. Now give me the microphone.,215,finalist,,,,,,
390,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x257 at 0x12BF3F040>,The committee will ask you one final time: do you come in a 42?,37,finalist,,,,,,
391,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x257 at 0x12BF3F040>,"And now, it seems, we're adding streaking to your list of misdemeanors.",37,bad,,,,,,
392,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x287 at 0x12BF3EE00>,"Hold my calls, cancel my appointments and find my speedo!",5,finalist,,,,,,
393,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x287 at 0x12BF3EE00>,"Donald clearly misunderstood ""surfing the net.""",5,bad,,,,,,
394,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x258 at 0x12BF3EEF0>,Bar Harbor has some pretty high tides.,114,bad,,,,,,
395,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x258 at 0x12BF3EEF0>,God needed a part time job...,114,finalist,,,,,,
396,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=500x378 at 0x12BF3E440>,It's a traveling exhibit.,493,bad,,,,,,
397,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=500x378 at 0x12BF3E440>,I prefer his later jumps.,493,winner,"scene: the sky description: Some skydivers are parachuting out of a plane. There are two groups of them. uncanny: One of the groups is naked and has no parachutes. entities: Parachuting, Interpretive_dance. caption: I prefer his later jumps.",Some skydivers are parachuting out of a plane. There are two groups of them.,the sky,One of the groups is naked and has no parachutes.,"A play on the phrase ""I prefer his later works"" --- this is often said of famous artists with careers long enough that it justifies preferences over different parts of time. But here, it's ""later jumps"" --- in reference to the idea that the work of art is actually the skydiving statues.",['What do these naked people think is going to happen in a minute?']
398,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x436 at 0x12BF3EFE0>,Stop pouting! You're the one who said swords or fire.,524,bad,,,,,,
399,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x436 at 0x12BF3EFE0>,"See, right there! You did it again! You're bending your elbow.",524,finalist,,,,,,
400,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=300x217 at 0x12BF3ED70>,"I'm doing O.K., but I do miss my Lycra bike shorts. And Mildred, of course.",316,finalist,,,,,,
401,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=300x217 at 0x12BF3ED70>,"Y'know, if we put playing cards in the spokes, we could pretend we're Hell's Angels!",316,bad,,,,,,
402,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=599x444 at 0x12BF3F070>,I'm going to let you off with just a math lecture this time.,385,finalist,,,,,,
403,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=599x444 at 0x12BF3F070>,Don't go away yet ... I still have to give you our privacy statement.,385,bad,,,,,,
404,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x392 at 0x12BF3F3A0>,I can get over 100 channels. How about you?,561,bad,,,,,,
405,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x392 at 0x12BF3F3A0>,Stay still. They'll never find us.,561,finalist,,,,,,
406,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x436 at 0x12BF3F130>,"Take the picture, dammit, take the picture!",524,winner,"scene: the hills description: A knight is in the countryside. He is dueling with a dragon. uncanny: The dragon is dueling with a weapon rather than breathing fire. entities: Swordsmanship, Dragon. caption: Take the picture, dammit, take the picture!",A knight is in the countryside. He is dueling with a dragon.,the hills,The dragon is dueling with a weapon rather than breathing fire.,"A joke about the dangers of posing for cool photos: sometimes, people will pose in precarious scenarios so that a cool photo can be taken of them. While this situation is precarious and also makes for a cool photo for the man, it's funny because 1) there weren't cameras in this time period; and 2) we might assume that dragon slayers are not as self-absorbed as to care about posing for photos.",['Why are they angry with one another?']
407,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x436 at 0x12BF3F130>,Smaug is not a big fan of the coin toss.,524,bad,,,,,,
408,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x200 at 0x12BF3F430>,Maybe this thing isn't a compass.,54,winner,"scene: the desert description: Two men with tattered clothing are stranded on the desert next to a skull. One of the men is happy and is staring at his watch, while the other man is distraught. uncanny: It is strange for someone to be so happy when they're dying and suffering in the desert. The watch may be very precious is the man is giving it so much attention when his basic needs are at such a low. entities: Watch, Mirage, Starvation. caption: Maybe this thing isn't a compass.","Two men with tattered clothing are stranded on the desert next to a skull. One of the men is happy and is staring at his watch, while the other man is distraught.",the desert,It is strange for someone to be so happy when they're dying and suffering in the desert. The watch may be very precious is the man is giving it so much attention when his basic needs are at such a low.,"The two stranded people are lost in the desert: the suggestion is that they didn't realize that a watch (which has rotating hands, causing them to go in circles endlessly) wasn't a compass (which points consistently). Watches and compasses look similar physically, so it's humorous to think that someone could mistake the two.",['What is so special about the watch?']
409,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x200 at 0x12BF3F430>,'Survivor' is on in 15 minutes.,54,bad,,,,,,
410,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=405x308 at 0x12BF3F7C0>,"Marge, I think you ordered from the wrong Amazon!",505,finalist,,,,,,
411,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=405x308 at 0x12BF3F7C0>,What part of 'in a while' didn't you understand?,505,bad,,,,,,
412,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x297 at 0x12BF3F6A0>,"Great. Safes everywhere, and I'm on probation.",131,finalist,,,,,,
413,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x297 at 0x12BF3F6A0>,"Hard to believe, but no two of them are identical.",131,bad,,,,,,
414,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x464 at 0x12BF3F5E0>,The hole in the middle was my idea.,537,finalist,,,,,,
415,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x464 at 0x12BF3F5E0>,I'm worried he's stuck in a font.,537,bad,,,,,,
416,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=707x478 at 0x12BF3F7F0>,Sometimes I regret going into concierge medicine.,360,bad,,,,,,
417,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=707x478 at 0x12BF3F7F0>,Bad news: you've got four blocks to live.,360,finalist,,,,,,
418,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=476x330 at 0x12BF3FB80>,I just feel like there’s no light at the end of the tunnel.,497,finalist,,,,,,
419,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=476x330 at 0x12BF3FB80>,...and then she backed away and hooked up with Thomas.,497,bad,,,,,,
420,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x244 at 0x12BF3F970>,"How’s your new boss at the C.I.A., dear?",50,finalist,,,,,,
421,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x244 at 0x12BF3F970>,The treehugger's society was a long time ago.,50,bad,,,,,,
422,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x337 at 0x12BF3FA60>,I didn't get where I am today being Mr. Nice Guy.,201,bad,,,,,,
423,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x337 at 0x12BF3FA60>,Maybe we should do the firings in the basement?,201,winner,"scene: building top description: A man has his office set up on the roof of a building. He is talking on a phone. uncanny: Offices are supposed to be indoors. entities: Office, Work_(human_activity). caption: Maybe we should do the firings in the basement?",A man has his office set up on the roof of a building. He is talking on a phone.,building top,Offices are supposed to be indoors.,A dark joke about a company that fires people in an office on the roof. The implication is that someone was fired and jumped off the building in despair. The tonedeaf company only now realizes that firing people on a roof is a bad idea because of this.,['Why did he set up the office on the roof?']
424,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=564x436 at 0x12BF3F9D0>,Ouick! Your Pen!,498,finalist,,,,,,
425,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=564x436 at 0x12BF3F9D0>,Had a circumcision lately?,498,bad,,,,,,
426,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x648 at 0x12BF3FDC0>,One immunization to rule them all.,419,bad,,,,,,
427,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x648 at 0x12BF3FDC0>,"Yeah, but the lollipop is amazing.",419,finalist,,,,,,
428,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=356x295 at 0x12BF3F340>,Dibs on his left hip!,110,finalist,,,,,,
429,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=356x295 at 0x12BF3F340>,What make and model was it?,110,bad,,,,,,
430,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x196 at 0x12BF3FCD0>,High time we held a jumble sale ?,139,bad,,,,,,
431,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x196 at 0x12BF3FCD0>,Tasted kind of mediciney.,139,finalist,,,,,,
432,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x211 at 0x12BF3FEE0>,Why do we always have to skip ahead to the part where Dorothy meets the Scarecrow?,70,bad,,,,,,
433,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x211 at 0x12BF3FEE0>,"I thought it sounded reputable. He's also a member, for crying out loud!",70,finalist,,,,,,
434,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x349 at 0x12BF3FD90>,Are you sure you know what you're doing?,150,bad,,,,,,
435,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x349 at 0x12BF3FD90>,"Bullets don't grow on trees, Harry.",150,winner,"scene: the living room description: A man and a woman are standing inside a wrecked house. The man is about to shoot himself with a gun. uncanny: The house being that wrecked is out of place. entities: Suicide, Gun. caption: Bullets don't grow on trees, Harry.",A man and a woman are standing inside a wrecked house. The man is about to shoot himself with a gun.,the living room,The house being that wrecked is out of place.,"A dark joke about the wife not caring for the man about to kill himself. The weird things are: 1) that he has missed so many times (many broken items around); and 2) that his wife doesn't seem to care about him, and only seems to care about the wasted bullets.",['Why is he shooting himself?']
436,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x365 at 0x12BF3FEB0>,"Brother, can you spare a lime?",210,winner,"scene: a construction site description: A hammock is set up between two pillars. A man is relaxing on it, while a man in a suit waits nearby. uncanny: Hammocks are not present in subways. entities: Hammock, I-beam. caption: Brother, can you spare a lime?","A hammock is set up between two pillars. A man is relaxing on it, while a man in a suit waits nearby.",a construction site,Hammocks are not present in subways.,"A play on ""brother, can you spare a dime?"" which is a song about economic hardship that came out during the great depression. Instead of asking for a meager amount of money, this beggar, who doesn't seem to be in dire financial straits and is instead on some type of tropical vacation in the subway, is asking for a lime, which is a superfluous garnish for his leisurely beverage. The contrast between the vacation depicted and the poverty of the original song is funny.",['Why is the man vacationing there?']
437,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x365 at 0x12BF3FEB0>,They call me the Hammocker Schnorrer.,210,bad,,,,,,
438,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=683x436 at 0x12BF3DDE0>,They say it never rains in southern California.,379,bad,,,,,,
439,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=683x436 at 0x12BF3DDE0>,"After the kids moved out, the treehouse was just too big.",379,finalist,,,,,,
440,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=240x164 at 0x12BFBC220>,I started last summer when this was a pool.,266,finalist,,,,,,
441,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=240x164 at 0x12BFBC220>,"But on the plus side, no one is wearing a Speedo.",266,bad,,,,,,
442,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x244 at 0x12BFBC430>,I've definitely had an easier time on the subway.,50,bad,,,,,,
443,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x244 at 0x12BFBC430>,"I'd divorce you, but we need the firewood.",50,winner,"scene: a living room description: A woman is sitting in a chair and reading a newspaper while looking up at a man. The man is wearing a suit and holding a briefcase. He seems to be wrapped up in what looks like a layer of tree bark. uncanny: A man has a round layer of protective tree bark over his suit. entities: Trunk_(botany), Job. caption: I'd divorce you, but we need the firewood.",A woman is sitting in a chair and reading a newspaper while looking up at a man. The man is wearing a suit and holding a briefcase. He seems to be wrapped up in what looks like a layer of tree bark.,a living room,A man has a round layer of protective tree bark over his suit.,"A refernce to a scene from the movie Annie Hall. In the movie, the line goes: ""My brother thinks he's a chicken"" ... ""But we need the eggs""; here, the husband think's he's a tree, but, surprisingly, he actually is a tree, and the wife mirrors the line from the movie: they need the firewood.","['Why is the man wearing the tree bark?', 'Is it actually tree bark or is it some other material?']"
444,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x476 at 0x12BFBC2B0>,"Your mother thinks I exaggerate my income, too.",521,bad,,,,,,
445,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x476 at 0x12BFBC2B0>,You should have seen the drink it came in.,521,finalist,,,,,,
446,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=541x465 at 0x12BFBC520>,"Senator, the press left two hours ago.",456,bad,,,,,,
447,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=541x465 at 0x12BFBC520>,How are you going to spin this?,456,finalist,,,,,,
448,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x193 at 0x12BFBC6D0>,"Some people see the donut, others see the hole.",91,bad,,,,,,
449,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x193 at 0x12BFBC6D0>,"Yeah, yeah—and I invented the ticket.",91,winner,"scene: a highway description: A motorcycle riding police officer is writing a ticket to give to a caveman. The caveman is angry and standing on the road next to a wheel made out of stone. uncanny: A policeman with a modern motorcycle is interacting with a caveman who only has a wheel. entities: Wheel, Caveman, Traffic_ticket. caption: Yeah, yeah—and I invented the ticket.",A motorcycle riding police officer is writing a ticket to give to a caveman. The caveman is angry and standing on the road next to a wheel made out of stone.,a highway,A policeman with a modern motorcycle is interacting with a caveman who only has a wheel.,"Cavemen invited the wheel, and the caveman is using this as rationale for why he shouldn't get a speeding ticket. The officer isn't buying that the caveman invented the wheel, and responds sarcastically that he invented the ticket (while giving the caveman the speeding ticket).",['What is the ticket for?']
450,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x464 at 0x12BFBC700>,I've never seen someone actually hoovered up before.,586,bad,,,,,,
451,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x464 at 0x12BFBC700>,I have a feeling they are going to treat us like dirt.,586,winner,"scene: the sidewalk description: Two people are walking a dog outside. A giant vaccum cleaner is in the air in front of them. uncanny: Vacuum cleaners aren't that large and they don't fly. entities: Vacuum, Alien_abduction. caption: I have a feeling they are going to treat us like dirt.",Two people are walking a dog outside. A giant vaccum cleaner is in the air in front of them.,the sidewalk,Vacuum cleaners aren't that large and they don't fly.,"Vacuums suck up dirt, and to be ""treated like dirt"" means to be treated poorly. The people are worried that because the aliens came in a vacuum, they will be literally and figuratively treated like dirt.",['Where did the vacuum come from?']
452,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=791x597 at 0x12BFBC640>,It's because he lost an argument with Bert and Ernie.,405,bad,,,,,,
453,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=791x597 at 0x12BFBC640>,Don't worry. It'll plump up as you cook it.,405,finalist,,,,,,
454,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=669x563 at 0x12BFBC7F0>,I always thought I would be more afraid but I'm actually quite calm.,315,bad,,,,,,
455,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=669x563 at 0x12BFBC7F0>,There goes eighty-three years of brand equity down the drain.,315,finalist,,,,,,
456,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x449 at 0x12BFBC8E0>,And where was the outrage over Alan's standing desk?,567,winner,"scene: a mattress description: A man is confronting another man. But he is still in his bed. uncanny: The bed is upright and the man is wearing it. entities: White-collar_worker, Sleep_deprivation. caption: And where was the outrage over Alan's standing desk?",A man is confronting another man. But he is still in his bed.,a mattress,The bed is upright and the man is wearing it.,"The man has designed a ""sleeping desk"", which allows him to sleep at work --- he makes the comparison to a standing desk, claiming that if a standing desk is allowed, so should his sleeping desk. The boss is unhappy because, unlike with standing, if one is sleeping they are unconscious and unable to do work. It's funny because it's a clever way of trying to get out of doing work.","[""Why didn't he get out of bed?""]"
457,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x449 at 0x12BFBC8E0>,I'm a new man since I got an emotional support mattress.,567,bad,,,,,,
458,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x240 at 0x12BFBC790>,Rogaine is for wimps.,42,bad,,,,,,
459,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x240 at 0x12BFBC790>,Cancel my twelve-oh-one.,42,winner,"scene: an office description: A person is sitting at a desk holding a phone to their ear. The person appears to be sitting on some strange metal desk chair uncanny: The design of the desk char is highly unusual entities: Electric_chair, Boredom, Document. caption: Cancel my twelve-oh-one.",A person is sitting at a desk holding a phone to their ear.  The person appears to be sitting on some strange metal desk chair,an office,The design of the desk char is highly unusual,"A joke about the precise time of executions: here, the man is set to be executed at exactly noon, by the order of the state. But, he's still working at his desk, and thus has meetings. So: he cancels a meeting he had at 12:01 because he will be dead by then. The preciseness of the meeting time is the key indicator of his execution time.",['What type of chair is that?']
460,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x593 at 0x12BFBC0A0>,"We still haven't found your pants, sir.",411,finalist,,,,,,
461,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x593 at 0x12BFBC0A0>,"The heralds are a nice touch, sir.",411,bad,,,,,,
462,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=460x410 at 0x12BFBC940>,Your mornings can't be any worse than my afternoons.,363,finalist,,,,,,
463,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=460x410 at 0x12BFBC940>,"I misunderstood the term ""human resources"".",363,bad,,,,,,
464,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=460x410 at 0x12BFBCA90>,At least we're not the stapler.,363,bad,,,,,,
465,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=460x410 at 0x12BFBCA90>,Last internship I was a coatrack.,363,winner,"scene: an office description: Two men are standing in front of a clerk at a desk. They're holding signs that say in and out. uncanny: The signs are a little bit odd, but not exactly out of place. entities: Paper, White-collar_worker. caption: Last internship I was a coatrack.",Two men are standing in front of a clerk at a desk. They're holding signs that say in and out.,an office,"The signs are a little bit odd, but not exactly out of place.","A joke about bad internship jobs taken to an extreme. These two interns act doing the menial task of holding in/out paperwork, which could easily be accomplished by a simple file folder or shelf. Accordingly, another job that could be done by a human that's usually done by an inanimate object is  holding up clothes like a coatrack. It's funny to think of how bad these people's internships are, which plays on the thankless nature of real internships in the real world.",['Why are they holding the signs?']
466,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=674x532 at 0x12BFBCB20>,Will that be allegro or allegro moderato?,390,bad,,,,,,
467,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=674x532 at 0x12BFBCB20>,"My name is Gary, and I'll be annoying you.",390,winner,"scene: a restaurant description: A couple is eating at a restaurant. The waiter is playing a giant tuba. uncanny: Usually it would be a violin or a stringed instrument a waiter would play, not a big farty tuba. entities: Serenade, French_horn. caption: My name is Gary, and I'll be annoying you.",A couple is eating at a restaurant. The waiter is playing a giant tuba.,a restaurant,"Usually it would be a violin or a stringed instrument a waiter would play, not a big farty tuba.","A joke about performers playing for guests of a restaurant while they are eating. Performers like the man with the tuba will sometimes enter restaurants and perform, in the hopes that the guests will leave them tips; however, most people find their performances annoying. Here, the person says ""and I'll be annoying you"" tonight, which is similar to what a waiter would say, ""and I'll be serving you"" tonight; but the role they play isn't serving food, it's playing music. It's funny in part because of how up-front they are about their potential annoyance.",['Why is this waiter playing the tuba?']
468,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x508 at 0x12BFBC850>,I'm getting mixed messages.,551,bad,,,,,,
469,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x508 at 0x12BFBC850>,We shall overcomb.,551,finalist,,,,,,
